2023-07-10 00:08:46 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource: HikariPool-1 - Shutdown initiated...
2023-07-10 00:08:56 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource: HikariPool-1 - Shutdown completed.
2023-07-10 00:19:01 INFO  [main] org.springframework.test.context.support.AbstractTestContextBootstrapper: Neither @ContextConfiguration nor @ContextHierarchy found for test class [tw.com.younite.mapper.UserProfileMapperTestCase], using SpringBootContextLoader
2023-07-10 00:19:01 INFO  [main] org.springframework.test.context.support.AbstractContextLoader: Could not detect default resource locations for test class [tw.com.younite.mapper.UserProfileMapperTestCase]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-07-10 00:19:01 INFO  [main] org.springframework.test.context.support.AnnotationConfigContextLoaderUtils: Could not detect default configuration classes for test class [tw.com.younite.mapper.UserProfileMapperTestCase]: UserProfileMapperTestCase does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-07-10 00:19:01 INFO  [main] org.springframework.boot.test.context.SpringBootTestContextBootstrapper: Found @SpringBootConfiguration tw.com.younite.YouNiteApplication for test class tw.com.younite.mapper.UserProfileMapperTestCase
2023-07-10 00:19:02 INFO  [main] org.springframework.test.context.support.AbstractTestContextBootstrapper: Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-07-10 00:19:02 INFO  [main] org.springframework.test.context.support.AbstractTestContextBootstrapper: Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4ed5eb72, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@12f9af83, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@19b93fa8, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7e6ef134, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1f010bf0, org.springframework.test.context.support.DirtiesContextTestExecutionListener@40db2a24, org.springframework.test.context.transaction.TransactionalTestExecutionListener@10cf09e8, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1921ad94, org.springframework.test.context.event.EventPublishingTestExecutionListener@ee86bcb, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@177bea38, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7f132176, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6bca7e0d, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2631f68c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6ed3f258, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@8ad6665]
2023-07-10 00:19:02 INFO  [main] org.springframework.boot.StartupInfoLogger: Starting UserProfileMapperTestCase using Java 17.0.6 on DESKTOP-TVDDHJO with PID 25684 (started by user in C:\Users\user\OneDrive\Desktop\eeit64-younite\Back-End)
2023-07-10 00:19:02 INFO  [main] org.springframework.boot.SpringApplication: No active profile set, falling back to 1 default profile: "default"
2023-07-10 00:19:07 INFO  [main] org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping: Adding welcome page: class path resource [static/index.html]
2023-07-10 00:19:07 WARN  [main] org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration: Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2023-07-10 00:19:08 INFO  [main] org.springframework.boot.StartupInfoLogger: Started UserProfileMapperTestCase in 6.679 seconds (JVM running for 8.582)
2023-07-10 00:23:15 INFO  [main] org.springframework.test.context.support.AbstractTestContextBootstrapper: Neither @ContextConfiguration nor @ContextHierarchy found for test class [tw.com.younite.mapper.UserProfileMapperTestCase], using SpringBootContextLoader
2023-07-10 00:23:15 INFO  [main] org.springframework.test.context.support.AbstractContextLoader: Could not detect default resource locations for test class [tw.com.younite.mapper.UserProfileMapperTestCase]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-07-10 00:23:15 INFO  [main] org.springframework.test.context.support.AnnotationConfigContextLoaderUtils: Could not detect default configuration classes for test class [tw.com.younite.mapper.UserProfileMapperTestCase]: UserProfileMapperTestCase does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-07-10 00:23:15 INFO  [main] org.springframework.boot.test.context.SpringBootTestContextBootstrapper: Found @SpringBootConfiguration tw.com.younite.YouNiteApplication for test class tw.com.younite.mapper.UserProfileMapperTestCase
2023-07-10 00:23:16 INFO  [main] org.springframework.test.context.support.AbstractTestContextBootstrapper: Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-07-10 00:23:16 INFO  [main] org.springframework.test.context.support.AbstractTestContextBootstrapper: Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4426bff1, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3c7c886c, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@55493582, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1a20270e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6b88ca8c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@336f1079, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2f16c6b3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@34158c08, org.springframework.test.context.event.EventPublishingTestExecutionListener@19e4fcac, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@52c3cb31, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4b79ac84, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@53941c2f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6dab9b6d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@21fd5faa, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@2766ca9d]
2023-07-10 00:23:17 INFO  [main] org.springframework.boot.StartupInfoLogger: Starting UserProfileMapperTestCase using Java 17.0.6 on DESKTOP-TVDDHJO with PID 33836 (started by user in C:\Users\user\OneDrive\Desktop\eeit64-younite\Back-End)
2023-07-10 00:23:17 INFO  [main] org.springframework.boot.SpringApplication: No active profile set, falling back to 1 default profile: "default"
2023-07-10 00:23:26 INFO  [main] org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping: Adding welcome page: class path resource [static/index.html]
2023-07-10 00:23:26 WARN  [main] org.springframework.boot.autoconfigure.thymeleaf.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration: Cannot find template location: classpath:/templates/ (please add some templates, check your Thymeleaf configuration, or set spring.thymeleaf.check-template-location=false)
2023-07-10 00:23:29 INFO  [main] org.springframework.boot.StartupInfoLogger: Started UserProfileMapperTestCase in 13.183 seconds (JVM running for 17.107)
2023-07-10 00:23:30 INFO  [main] com.zaxxer.hikari.HikariDataSource: HikariPool-1 - Starting...
2023-07-10 00:23:31 INFO  [main] com.zaxxer.hikari.HikariDataSource: HikariPool-1 - Start completed.
2023-07-10 00:23:32 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource: HikariPool-1 - Shutdown initiated...
2023-07-10 00:23:32 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource: HikariPool-1 - Shutdown completed.
2023-07-10 00:25:07 INFO  [main] org.springframework.test.context.support.AbstractTestContextBootstrapper: Neither @ContextConfiguration nor @ContextHierarchy found for test class [tw.com.younite.mapper.UserProfileMapperTestCase], using SpringBootContextLoader
2023-07-10 00:25:07 INFO  [main] org.springframework.test.context.support.AbstractContextLoader: Could not detect default resource locations for test class [tw.com.younite.mapper.UserProfileMapperTestCase]: no resource found for suffixes {-context.xml, Context.groovy}.
